Line #,Word
90,τε
90,δόμον
90,σφετέρους
90,τε
90,τοκῆας
91,ᾤχετο
91,τιμήσων
91,ἀλιτήμενον
91,Εὐρυσθῆα
92,σχέτλιος
92,ἦ
92,που
92,πολλὰ
92,μετεστοναχίζετ'
92,ὀπίσσω
93,ἣν
93,ἄτην
93,ὀχέων
93,ἣ
93,δ'
93,οὐ
93,παλινάγρετός
93,ἐστιν
94,αὐτὰρ
94,ἐμοὶ
94,δαίμων
94,χαλεποὺς
94,ἐπετέλλετ'
94,ἀέθλους
95,ὦ
95,φίλος
95,ἀλλὰ
95,σὺ
95,θᾶσσον
95,ἔχ'
95,ἡνία
95,φοινικόεντα
96,ἵππων
96,ὠκυπόδων
96,μέγα
96,δὲ
96,φρεσὶ
96,θάρσος
96,ἀέξων
97,ἰθὺς
97,ἔχειν
97,θοὸν
97,ἅρμα
97,καὶ
97,ὠκυπόδων
97,σθένος
97,ἵππων
98,μηδὲν
98,ὑποδδείσας
98,κτύπον
98,Ἄρεος
98,ἀνδροφόνοιο
99,ὃς
99,νῦν
99,κεκληγὼς
99,περιμαίνεται
99,ἱερὸν
99,ἄλσος
100,Φοίβου
100,Ἀπόλλωνος
100,ἑκατηβελέταο
100,ἄνακτος
101,ἦ
101,μὴν
101,καὶ
101,κράτερός
101,περ
101,ἐὼν
101,ἄαται
101,πολέμοιο
102,Τὸν
102,δ'
102,αὖτε
102,προσέειπεν
102,ἀμώμητος
102,Ἰόλαος
103,ἠθεῖ'
103,ἦ
103,μάλα
103,δή
103,τι
103,πατὴρ
103,ἀνδρῶν
103,τε
103,θεῶν
103,τε
104,τιμᾷ
104,σὴν
104,κεφαλὴν
104,καὶ
104,ταύρεος
104,Ἐννοσίγαιος
105,ὃς
105,Θήβης
105,κρήδεμνον
105,ἔχει
105,ῥύεταί
105,τε
105,πόληα
106,οἷον
106,δὴ
106,καὶ
106,τόνδε
106,βροτὸν
106,κρατερόν
106,τε
106,μέγαν
106,τε
107,σὰς
107,ἐς
107,χεῖρας
107,ἄγουσιν
107,ἵνα
107,κλέος
107,ἐσθλὸν
107,ἄρηαι
108,ἀλλ'
108,ἄγε
108,δύσεο
108,τεύχε'
108,ἀρήια
108,ὄφρα
108,τάχιστα
109,δίφρους
109,ἐμπελάσαντες
109,Ἄρηός
109,θ'
109,ἡμέτερόν
109,τε
110,μαρνώμεσθ'
110,ἐπεὶ
110,οὔ
110,τοι
110,ἀτάρβητον
110,Διὸς
110,υἱὸν
111,οὐδ'
111,Ἰφικλεΐδην
111,δειδίξεται
111,ἀλλά
111,μιν
111,οἴω
112,φεύξεσθαι
112,δύο
112,παῖδας
112,ἀμύμονος
112,Ἀλκεΐδαο
113,οἳ
113,δή
113,σφι
113,σχεδόν
113,εἰσι
113,λιλαιόμενοι
113,πολέμοιο
114,φυλόπιδα
114,στήσειν
114,τά
114,σφιν
114,πολὺ
114,φίλτερα
114,θοίνης
115,Ὣς
115,φάτο
115,μείδησεν
115,δὲ
115,βίη
115,Ἡρακληείη
116,θυμῷ
116,γηθήσας
116,μάλα
116,γάρ
116,νύ
116,οἱ
116,ἄρμενα
116,εἶπεν
117,καί
117,μιν
117,ἀμειβόμενος
117,ἔπεα
117,πτερόεντα
117,προσηύδα
118,ἥρως
118,ὦ
118,Ἰόλαε
118,διοτρεφές
118,οὐκέτι
118,τηλοῦ
119,ὑσμίνη
119,τρηχεῖα
119,σὺ
119,δ'
119,ὡς
119,πάρος
119,ἦσθα
119,δαΐφρων
120,ὣς
120,καὶ
120,νῦν
120,μέγαν
120,ἵππον
120,Ἀρίονα
120,κυανοχαίτην
121,πάντη
121,ἀναστρωφᾶν
121,καὶ
121,ἀρηγέμεν
121,ὥς
121,κε
121,δύνηαι
122,Ὣς
122,εἰπὼν
122,κνημῖδας
122,ὀρειχάλκοιο
122,φαεινοῦ
123,Ἡφαίστου
